Ordinal,Type,Added,AST
5,LINE,4,68
4,AST,4,68
5,LINE,56,72
4,AST,46,72
5,LINE,21,319
4,AST,11,319
5,LINE,5,219
4,AST,2,219
5,LINE,2,789
4,AST,2,789
5,LINE,16,642
4,AST,9,642
5,LINE,58,333
5,LINE,4,103
4,AST,2,103
5,LINE,3,110
4,AST,1,110
5,LINE,11,193
4,AST,6,193
5,LINE,4,69
4,AST,4,69
5,LINE,7,34
5,LINE,5,47
4,AST,2,47
5,LINE,1,156
4,AST,1,156
5,LINE,87,1009
4,AST,6,1009
5,LINE,2,1697
5,LINE,7,500
4,AST,3,500
5,LINE,2,508
5,LINE,2,637
5,LINE,8,1085
4,AST,6,1085
5,LINE,80,358
4,AST,66,358
5,LINE,1,45
5,LINE,17,678
4,AST,50,678
5,LINE,18,98
5,LINE,6,372
4,AST,4,372
5,LINE,7,70
4,AST,7,70
5,LINE,2,10
5,LINE,6,484
5,LINE,52,327
4,AST,28,327
5,LINE,4,297
5,LINE,8,161
4,AST,9,161
5,LINE,5,7
4,AST,5,7
5,LINE,1,99
4,AST,1,99
5,LINE,4,128
4,AST,6,128
5,LINE,9,600
4,AST,4,600
5,LINE,8,520
4,AST,4,520
5,LINE,2,516
5,LINE,7,365
4,AST,6,365
5,LINE,142,305
4,AST,90,305
5,LINE,80,717
4,AST,30,717
5,LINE,78,214
4,AST,61,214
5,LINE,40,177
5,LINE,18,292
4,AST,10,292
5,LINE,12,372
4,AST,4,372
5,LINE,5,48
4,AST,3,48
5,LINE,4,23
5,LINE,8,324
4,AST,4,324
5,LINE,24,248
5,LINE,2,44
4,AST,2,44
5,LINE,32,916
4,AST,18,916
5,LINE,3,23
5,LINE,139,5357
4,AST,102,5357
5,LINE,10,58
4,AST,6,58
5,LINE,5,59
4,AST,3,59
5,LINE,7,181
5,LINE,4,103
4,AST,43,103
5,LINE,120,215
4,AST,65,215
5,LINE,7,387
4,AST,6,387
5,LINE,10,263
4,AST,10,263
5,LINE,116,290
4,AST,2,290
5,LINE,19,79
4,AST,31,79
5,LINE,15,293
5,LINE,2,326
5,LINE,2,408
5,LINE,3,7
4,AST,3,7
5,LINE,36,786
4,AST,21,786
5,LINE,41,57
4,AST,41,57
5,LINE,33,269
4,AST,9,269
5,LINE,10,355
5,LINE,30,5140
4,AST,22,5140
5,LINE,6,1038
4,AST,4,1038
5,LINE,3,1011
5,LINE,2,93
4,AST,1,93
5,LINE,37,197
4,AST,22,197
5,LINE,4,241
4,AST,4,241
5,LINE,11,681
4,AST,27,681
5,LINE,5,126
4,AST,3,126
5,LINE,15,95
5,LINE,9,911
4,AST,1,911
5,LINE,59,114
4,AST,26,114
5,LINE,20,315
4,AST,11,315
5,LINE,17,64
5,LINE,15,140
5,LINE,2,816
4,AST,2,816
5,LINE,8,394
5,LINE,25,64
4,AST,15,64
5,LINE,5,189
4,AST,2,189
5,LINE,26,212
4,AST,7,212
5,LINE,7,89
4,AST,6,89
5,LINE,5,491
4,AST,5,491
5,LINE,2,680
5,LINE,2,268
5,LINE,4,1344
5,LINE,2,3786
4,AST,2,3786
5,LINE,10,417
4,AST,1,417
5,LINE,4,272
4,AST,2,272
5,LINE,29,96
4,AST,20,96
5,LINE,3,358
4,AST,6,358
5,LINE,2,93
5,LINE,4,234
4,AST,3,234
5,LINE,6,61
5,LINE,2,81
5,LINE,29,56
4,AST,12,56
5,LINE,1,202
5,LINE,22,78
4,AST,12,78
5,LINE,2,300
4,AST,2,300
5,LINE,2,153
4,AST,1,153
5,LINE,2,298
4,AST,1,298
5,LINE,22,244
5,LINE,12,344
4,AST,34,344
5,LINE,2,122
4,AST,2,122
5,LINE,6,53
5,LINE,13,339
4,AST,10,339
5,LINE,2,223
4,AST,1,223
5,LINE,2,120
4,AST,2,120
5,LINE,50,97
4,AST,45,97
5,LINE,2,176
5,LINE,2,56
5,LINE,2,98
5,LINE,2,175
4,AST,2,175
5,LINE,2,31
4,AST,2,31
5,LINE,3,101
4,AST,2,101
5,LINE,1,679
5,LINE,58,5289
4,AST,113,5289
5,LINE,19,148
4,AST,12,148
5,LINE,53,1427
4,AST,38,1427
5,LINE,30,493
4,AST,27,493
5,LINE,35,531
4,AST,17,531
5,LINE,20,307
4,AST,10,307
5,LINE,3,9
5,LINE,39,201
4,AST,14,201
5,LINE,49,155
4,AST,26,155
5,LINE,12,12094
5,LINE,10,669
5,LINE,10,1325
4,AST,9,1325
5,LINE,23,27
4,AST,18,27
5,LINE,6,5053
5,LINE,2,261
5,LINE,11,84
4,AST,9,84
5,LINE,13,1393
4,AST,11,1393
5,LINE,2,740
5,LINE,78,113
4,AST,27,113
5,LINE,4,79
4,AST,2,79
5,LINE,19,273
4,AST,9,273
5,LINE,2,78
4,AST,1,78
5,LINE,36,411
4,AST,19,411
5,LINE,63,99
4,AST,48,99
5,LINE,1,5638
4,AST,1,5638
5,LINE,15,136
5,LINE,2,35
4,AST,2,35
5,LINE,16,10
5,LINE,19,809
4,AST,6,809
5,LINE,6,49
5,LINE,12,769
5,LINE,55,631
4,AST,33,631
5,LINE,2,111
5,LINE,1,54
5,LINE,4,49
4,AST,3,49
5,LINE,25,372
4,AST,3,372
5,LINE,2,1
5,LINE,11,897
4,AST,35,897
5,LINE,40,814
4,AST,27,814
5,LINE,9,71
4,AST,4,71
5,LINE,26,212
4,AST,7,212
5,LINE,87,2436
4,AST,65,2436
5,LINE,2,1451
4,AST,2,1451
5,LINE,1,973
4,AST,1,973
5,LINE,4,230
5,LINE,2,161
4,AST,4,161
5,LINE,20,367
4,AST,11,367
5,LINE,5,72
4,AST,4,72
5,LINE,4,60
4,AST,2,60
5,LINE,5,474
4,AST,3,474
5,LINE,8,771
4,AST,3,771
5,LINE,11,158
4,AST,6,158
5,LINE,2,144
4,AST,1,144
5,LINE,37,62
4,AST,5,62
5,LINE,2,280
4,AST,1,280
5,LINE,7,395
4,AST,6,395
5,LINE,11,489
5,LINE,3,440
4,AST,4,440
5,LINE,2,671
5,LINE,8,1735
5,LINE,2,108
5,LINE,9,73
5,LINE,19,123
4,AST,30,123
5,LINE,35,360
4,AST,7,360
5,LINE,13,225
4,AST,8,225
5,LINE,85,62
5,LINE,26,323
5,LINE,15,171
4,AST,6,171
5,LINE,2,71
4,AST,2,71
5,LINE,6,484
4,AST,6,484
5,LINE,6,1536
4,AST,3,1536
5,LINE,9,209
4,AST,2,209
5,LINE,58,84
5,LINE,2,398
4,AST,2,398
5,LINE,139,247
4,AST,80,247
5,LINE,9,233
4,AST,3,233
5,LINE,45,746
4,AST,41,746
5,LINE,2,466
4,AST,1,466
5,LINE,6,58
5,LINE,4,355
5,LINE,2,624
4,AST,2,624
5,LINE,6,149
5,LINE,2,250
5,LINE,32,353
5,LINE,2,51
4,AST,2,51
5,LINE,9,345
4,AST,3,345
5,LINE,2,47
4,AST,2,47
5,LINE,34,208
4,AST,24,208
5,LINE,5,142
4,AST,3,142
5,LINE,2,164
4,AST,2,164
5,LINE,19,325
4,AST,13,325
5,LINE,2,247
4,AST,1,247
5,LINE,4,432
5,LINE,2,549
5,LINE,15,460
4,AST,8,460
5,LINE,95,253
4,AST,69,253
5,LINE,2,523
4,AST,1,523
5,LINE,162,357
5,LINE,1,66
5,LINE,8,205
4,AST,6,205
5,LINE,9,118
4,AST,5,118
5,LINE,2,880
5,LINE,1,195
4,AST,1,195
5,LINE,8,362
4,AST,6,362
5,LINE,2,135
4,AST,6,135
5,LINE,8,356
4,AST,2,356
5,LINE,4,82
4,AST,6,82
5,LINE,4,84
4,AST,9,84
5,LINE,2,151
5,LINE,17,25
5,LINE,5,396
4,AST,6,396
5,LINE,26,491
4,AST,22,491
5,LINE,1,692
4,AST,1,692
5,LINE,6,423
4,AST,6,423
5,LINE,11,224
4,AST,5,224
5,LINE,2,51
5,LINE,12,185
4,AST,6,185
5,LINE,2,1483
4,AST,1,1483
5,LINE,13,640
4,AST,12,640
5,LINE,2,194
5,LINE,2,22
5,LINE,6,1424
4,AST,6,1424
5,LINE,14,227
4,AST,10,227
5,LINE,60,6346
4,AST,14,6346
5,LINE,23,299
4,AST,11,299
5,LINE,5,340
5,LINE,18,854
4,AST,7,854
5,LINE,2,67
4,AST,2,67
5,LINE,50,356
4,AST,28,356
5,LINE,8,357
4,AST,2,357
5,LINE,16,355
4,AST,10,355
5,LINE,23,1036
4,AST,10,1036
5,LINE,13,210
5,LINE,2,305
5,LINE,52,395
4,AST,62,395
5,LINE,8,258
4,AST,5,258
5,LINE,2,296
5,LINE,1,195
4,AST,1,195
5,LINE,2,163
5,LINE,10,82
4,AST,9,82
5,LINE,8,135
4,AST,8,135
5,LINE,18,40
4,AST,6,40
5,LINE,4,530
5,LINE,20,451
4,AST,14,451
5,LINE,163,142
5,LINE,4,768
4,AST,4,768
5,LINE,13,297
5,LINE,144,509
4,AST,103,509
5,LINE,48,2416
5,LINE,12,31
4,AST,11,31
5,LINE,2,263
4,AST,2,263
5,LINE,11,405
4,AST,2,405
5,LINE,36,341
4,AST,26,341
5,LINE,4,240
4,AST,4,240
5,LINE,21,3220
5,LINE,2,121
4,AST,2,121
5,LINE,2,3450
4,AST,2,3450
5,LINE,2,475
5,LINE,2,46
5,LINE,2,16
5,LINE,4,435
5,LINE,11,78
4,AST,10,78
5,LINE,2,352
4,AST,2,352
5,LINE,28,117
5,LINE,4,66
4,AST,3,66
5,LINE,30,35
5,LINE,4,118
5,LINE,2,121
4,AST,2,121
5,LINE,4,1264
4,AST,4,1264
5,LINE,3,1589
4,AST,2,1589
5,LINE,4,558
5,LINE,2,242
4,AST,2,242
5,LINE,8,81
4,AST,8,81
5,LINE,7,187
4,AST,9,187
5,LINE,28,31
5,LINE,2,673
5,LINE,2,59
4,AST,2,59
5,LINE,10,1164
5,LINE,2,278
4,AST,2,278
5,LINE,2,25
5,LINE,24,320
4,AST,3,320
5,LINE,38,409
4,AST,26,409
5,LINE,6,276
4,AST,3,276
5,LINE,2,81
4,AST,2,81
5,LINE,14,1537
4,AST,8,1537
5,LINE,3,44
5,LINE,4,1076
4,AST,4,1076
5,LINE,7,75
4,AST,4,75
5,LINE,29,414
4,AST,22,414
5,LINE,3,111
4,AST,1,111
5,LINE,22,1019
4,AST,4,1019
5,LINE,7,221
4,AST,6,221
5,LINE,51,578
4,AST,43,578
5,LINE,24,193
4,AST,20,193
5,LINE,2,1127
5,LINE,3,2387
4,AST,2,2387
5,LINE,2,51
5,LINE,5,598
4,AST,4,598
5,LINE,135,358
4,AST,11,358
5,LINE,5,5581
4,AST,5,5581
5,LINE,6,167
5,LINE,12,213
4,AST,5,213
5,LINE,34,103
5,LINE,2,103
4,AST,2,103
5,LINE,11,189
4,AST,7,189
5,LINE,2,685
5,LINE,3,185
4,AST,6,185
5,LINE,2,265
5,LINE,2,73
5,LINE,3,814
4,AST,1,814
5,LINE,2,124
5,LINE,16,131
4,AST,11,131
5,LINE,17,482
4,AST,6,482
5,LINE,17,347
4,AST,3,347
5,LINE,3,764
4,AST,3,764
5,LINE,34,141
4,AST,7,141
5,LINE,2,467
5,LINE,2,95
5,LINE,11,159
4,AST,4,159
5,LINE,2,164
4,AST,1,164
5,LINE,2,28
5,LINE,3,58
4,AST,3,58
5,LINE,51,118
5,LINE,14,413
4,AST,12,413
5,LINE,4,84
4,AST,34,84
5,LINE,30,156
4,AST,6,156
5,LINE,2,53
5,LINE,2,2153
5,LINE,21,90
4,AST,25,90
5,LINE,8,2332
4,AST,4,2332
5,LINE,3,339
4,AST,3,339
5,LINE,11,100
5,LINE,2,34
5,LINE,11,50
5,LINE,4,167
4,AST,4,167
5,LINE,1,5749
4,AST,1,5749
5,LINE,3,61
5,LINE,3,138
4,AST,2,138
5,LINE,19,102
4,AST,11,102
5,LINE,23,87
5,LINE,11,355
4,AST,3,355
5,LINE,4,17
5,LINE,24,265
4,AST,11,265
5,LINE,14,30
5,LINE,2,1164
4,AST,2,1164
5,LINE,8,341
4,AST,4,341
5,LINE,16,148
4,AST,10,148
5,LINE,2,457
4,AST,2,457
5,LINE,42,2197
4,AST,10,2197
5,LINE,91,68
4,AST,76,68
5,LINE,36,184
5,LINE,6,1424
4,AST,6,1424
5,LINE,8,316
4,AST,4,316
5,LINE,13,521
5,LINE,5,23
4,AST,5,23
5,LINE,2,321
5,LINE,2,334
5,LINE,4,14
5,LINE,4,539
4,AST,11,539
5,LINE,2,165
4,AST,1,165
5,LINE,3,123
5,LINE,26,190
5,LINE,3,61
5,LINE,4,167
4,AST,4,167
5,LINE,18,393
4,AST,10,393
5,LINE,16,166
5,LINE,26,2587
4,AST,8,2587
5,LINE,2,9
5,LINE,3,360
4,AST,1,360
5,LINE,3,441
4,AST,1,441
5,LINE,1,77
5,LINE,23,190
5,LINE,12,43
4,AST,9,43
5,LINE,7,107
4,AST,4,107
5,LINE,2,363
4,AST,2,363
5,LINE,5,237
4,AST,1,237
5,LINE,2,5
5,LINE,5,184
4,AST,3,184
5,LINE,2,41
5,LINE,2,88
4,AST,2,88
5,LINE,4,105
4,AST,3,105
5,LINE,3,155
4,AST,6,155
5,LINE,4,662
5,LINE,1,15
5,LINE,2,80
5,LINE,9,612
4,AST,2,612
5,LINE,6,2572
4,AST,2,2572
5,LINE,16,5430
4,AST,13,5430
5,LINE,2,332
5,LINE,2,568
5,LINE,96,322
4,AST,80,322
5,LINE,46,256
5,LINE,2,349
4,AST,2,349
5,LINE,1,136
4,AST,1,136
5,LINE,13,472
4,AST,11,472
5,LINE,2,93
5,LINE,32,917
5,LINE,2,2126
4,AST,1,2126
5,LINE,75,742
4,AST,35,742
5,LINE,7,45
5,LINE,11,675
4,AST,8,675
5,LINE,6,142
4,AST,6,142
5,LINE,2,141
5,LINE,7,376
4,AST,6,376
5,LINE,2,1266
5,LINE,8,164
4,AST,4,164
5,LINE,4,420
4,AST,1,420
5,LINE,6,2041
4,AST,5,2041
5,LINE,6,1004
4,AST,6,1004
5,LINE,8,544
4,AST,5,544
5,LINE,1,2719
5,LINE,14,4956
4,AST,3,4956
5,LINE,1,213
5,LINE,2,712
5,LINE,6,818
4,AST,2,818
5,LINE,8,290
4,AST,8,290
5,LINE,39,335
4,AST,18,335
5,LINE,2,86
4,AST,2,86
5,LINE,2,545
4,AST,2,545
5,LINE,8,118
4,AST,3,118
5,LINE,2,70
5,LINE,11,695
4,AST,4,695
5,LINE,49,85
4,AST,31,85
5,LINE,2,323
4,AST,2,323
5,LINE,2,120
5,LINE,13,604
4,AST,8,604
5,LINE,2,92
4,AST,1,92
5,LINE,25,67
4,AST,13,67
5,LINE,101,1658
4,AST,64,1658
5,LINE,7,411
5,LINE,2,136
5,LINE,9,171
4,AST,9,171
5,LINE,1,424
5,LINE,18,291
4,AST,10,291
5,LINE,8,356
4,AST,4,356
5,LINE,2,812
4,AST,2,812
5,LINE,69,88
5,LINE,13,297
5,LINE,30,1570
4,AST,20,1570
5,LINE,11,524
4,AST,6,524
5,LINE,2,93
5,LINE,63,266
4,AST,45,266
5,LINE,4,233
4,AST,6,233
5,LINE,2,295
5,LINE,52,268
5,LINE,17,151
4,AST,14,151
5,LINE,8,453
4,AST,10,453
5,LINE,14,379
5,LINE,39,331
4,AST,18,331
5,LINE,2,270
5,LINE,20,531
4,AST,9,531
5,LINE,66,338
4,AST,138,338
5,LINE,2,194
4,AST,2,194
5,LINE,47,370
4,AST,1,370
5,LINE,18,175
4,AST,8,175
5,LINE,9,623
4,AST,2,623
5,LINE,12,327
5,LINE,7,347
4,AST,6,347
5,LINE,1,155
4,AST,1,155
5,LINE,18,7394
4,AST,2,7394
5,LINE,1,308
5,LINE,118,3455
4,AST,55,3455
5,LINE,114,104
5,LINE,29,209
4,AST,17,209
5,LINE,1,116
4,AST,5,116
5,LINE,2,133
4,AST,2,133
5,LINE,31,31
4,AST,16,31
5,LINE,8,207
4,AST,1,207
5,LINE,23,496
5,LINE,2,188
4,AST,88,188
5,LINE,3,689
4,AST,3,689
5,LINE,18,171
4,AST,26,171
5,LINE,6,419
4,AST,2,419
5,LINE,5,956
4,AST,3,956
5,LINE,55,82
4,AST,39,82
5,LINE,2,746
4,AST,2,746
5,LINE,20,121
4,AST,33,121
5,LINE,19,38
5,LINE,41,1260
4,AST,53,1260
5,LINE,19,164
5,LINE,3,225
4,AST,2,225
5,LINE,38,282
4,AST,19,282
5,LINE,7,323
4,AST,6,323
5,LINE,74,389
4,AST,17,389
5,LINE,9,292
5,LINE,81,79
4,AST,95,79
5,LINE,20,705
5,LINE,2,77
5,LINE,4,264
5,LINE,7,101
4,AST,4,101
5,LINE,7,371
4,AST,3,371
5,LINE,24,1107
4,AST,4,1107
5,LINE,157,987
4,AST,211,987
5,LINE,14,282
4,AST,11,282
5,LINE,2,320
5,LINE,5,1952
4,AST,1,1952
5,LINE,8,302
5,LINE,5,408
4,AST,3,408
5,LINE,2,245
4,AST,2,245
5,LINE,30,238
5,LINE,4,322
4,AST,2,322
5,LINE,2,10
5,LINE,2,152
5,LINE,7,58
4,AST,7,58
5,LINE,9,3440
4,AST,8,3440
5,LINE,8,355
4,AST,4,355
5,LINE,1,827
4,AST,1,827
5,LINE,9,428
5,LINE,2,94
5,LINE,6,359
4,AST,4,359
5,LINE,81,1085
4,AST,88,1085
5,LINE,3,43
4,AST,2,43
5,LINE,13,120
4,AST,7,120
5,LINE,2,486
4,AST,4,486
5,LINE,8,214
4,AST,1,214
5,LINE,9,352
4,AST,4,352
5,LINE,250,499
4,AST,216,499
5,LINE,11,99
5,LINE,28,178
4,AST,25,178
5,LINE,14,88
5,LINE,15,754
4,AST,4,754
5,LINE,8,413
4,AST,4,413
5,LINE,2,1470
4,AST,1,1470
5,LINE,5,5160
4,AST,4,5160
5,LINE,4,81
4,AST,4,81
5,LINE,30,103
4,AST,14,103
5,LINE,2,75
5,LINE,8,893
5,LINE,2,80
5,LINE,27,231
4,AST,13,231
5,LINE,4,343
5,LINE,12,1382
