Ordinal,Type,Added,AST
3,VALUE,63,11
0,MULTI,2,14
2,VAR,2,14
0,MULTI,2,0
2,VAR,2,0
3,VALUE,2,0
0,MULTI,1,4
3,VALUE,1,4
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,12,6
1,CONTROL,7,6
3,VALUE,5,6
0,MULTI,7,62
1,CONTROL,7,62
0,MULTI,1,9
2,VAR,1,9
3,VALUE,1,9
0,MULTI,3,1
1,CONTROL,3,1
0,MULTI,25,3
1,CONTROL,16,3
3,VALUE,15,3
0,MULTI,2,9
1,CONTROL,2,9
0,MULTI,4,6
1,CONTROL,4,6
3,VALUE,1,6
0,MULTI,73,6
1,CONTROL,73,6
0,MULTI,1,5
3,VALUE,1,5
0,MULTI,10,19
2,VAR,6,19
3,VALUE,10,19
0,MULTI,1,11
2,VAR,1,11
3,VALUE,1,11
0,MULTI,1,3
2,VAR,1,3
3,VALUE,1,3
0,MULTI,6,12
1,CONTROL,4,12
2,VAR,2,12
3,VALUE,4,12
0,MULTI,2,3
3,VALUE,2,3
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,4,0
3,VALUE,4,0
0,MULTI,1,0
3,VALUE,1,0
0,MULTI,1,2
3,VALUE,1,2
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,2,32
2,VAR,1,32
3,VALUE,2,32
0,MULTI,2,7
3,VALUE,2,7
0,MULTI,2,6
3,VALUE,2,6
0,MULTI,86,4
1,CONTROL,84,4
3,VALUE,28,4
0,MULTI,10,7
2,VAR,10,7
3,VALUE,5,7
0,MULTI,1,22
3,VALUE,1,22
0,MULTI,9,5
1,CONTROL,8,5
2,VAR,1,5
3,VALUE,7,5
0,MULTI,2,2
1,CONTROL,2,2
0,MULTI,2,2
3,VALUE,2,2
0,MULTI,76,55
2,VAR,32,55
3,VALUE,44,55
0,MULTI,28,57
2,VAR,2,57
3,VALUE,26,57
0,MULTI,4,0
3,VALUE,4,0
0,MULTI,5,0
3,VALUE,5,0
0,MULTI,1,3
2,VAR,1,3
3,VALUE,1,3
0,MULTI,19,5
3,VALUE,19,5
0,MULTI,83,4
3,VALUE,83,4
0,MULTI,2,4
3,VALUE,2,4
0,MULTI,12,8
3,VALUE,12,8
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,2,1
2,VAR,2,1
3,VALUE,2,1
0,MULTI,1,18
3,VALUE,1,18
0,MULTI,5,18
2,VAR,3,18
3,VALUE,5,18
0,MULTI,4,27
1,CONTROL,2,27
3,VALUE,4,27
0,MULTI,8,0
3,VALUE,8,0
0,MULTI,4,4
1,CONTROL,4,4
0,MULTI,5,1
3,VALUE,5,1
0,MULTI,1,5
3,VALUE,1,5
0,MULTI,10,28
1,CONTROL,1,28
2,VAR,2,28
3,VALUE,9,28
0,MULTI,6,15
3,VALUE,6,15
0,MULTI,5,6
3,VALUE,5,6
0,MULTI,7,7
2,VAR,1,7
3,VALUE,7,7
0,MULTI,3,7
1,CONTROL,1,7
3,VALUE,3,7
0,MULTI,3,2
1,CONTROL,2,2
2,VAR,1,2
3,VALUE,3,2
0,MULTI,140,49
1,CONTROL,31,49
3,VALUE,121,49
0,MULTI,1,7
1,CONTROL,1,7
0,MULTI,2,24
2,VAR,2,24
3,VALUE,2,24
0,MULTI,2,23
2,VAR,2,23
3,VALUE,2,23
0,MULTI,2,0
3,VALUE,2,0
0,MULTI,3,1
2,VAR,2,1
3,VALUE,3,1
0,MULTI,11,5
3,VALUE,11,5
0,MULTI,7,19
1,CONTROL,6,19
2,VAR,1,19
3,VALUE,1,19
0,MULTI,10,4
1,CONTROL,10,4
0,MULTI,7,18
2,VAR,7,18
3,VALUE,5,18
0,MULTI,1,2
3,VALUE,1,2
0,MULTI,3,18
2,VAR,3,18
3,VALUE,3,18
0,MULTI,6,4
